Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer
KIT,-93.70142841,-68.56138902,-19.98796437,KIT-9,AGE_ELK_NOR_WIG,AGE-KIT_ELK-KIT_KIT-NOR_KIT-WIG,AGE-KIT-9_ELK-KIT-9_KIT-NOR-9_KIT-WIG-9,AGE-9_ELK-9_NOR-9_WIG-9,0,outer
MAY,-42.89736841,147.070363,-46.28103337,MAY-3,HEX_INK_RUM_SIP,HEX-MAY_INK-MAY_MAY-RUM_MAY-SIP,HEX-MAY-3_INK-MAY-3_MAY-RUM-3_MAY-SIP-3,HEX-3_INK-3_RUM-3_SIP-3,0,outer
NIX,19.61778759,146.65104,-71.21173037,NIX-1,LEG_SPY_OVA_WHO_PIE,LEG-NIX_NIX-SPY_NIX-OVA_NIX-WHO_NIX-PIE,LEG-NIX-1_NIX-SPY-1_NIX-OVA-1_NIX-WHO-1_NIX-PIE-1,LEG-1_SPY-1_OVA-1_WHO-1_PIE-1,1,inner
OVA,37.55681159,148.781207,-44.57590737,OVA-1,LEG_NIX_PIE_RAD_SPY,LEG-OVA_NIX-OVA_OVA-PIE_OVA-RAD_OVA-SPY,LEG-OVA-1_NIX-OVA-1_OVA-PIE-1_OVA-RAD-1_OVA-SPY-1,LEG-1_NIX-1_PIE-1_RAD-1_SPY-1,0,outer
LAX,-79.20396241,-13.41357102,26.66345463,LAX-6_LAX-12,GIN_ICE_ART_COY_MAD,GIN-LAX_ICE-LAX_ART-LAX_COY-LAX_LAX-MAD,ART-LAX-12_COY-LAX-12_LAX-MAD-12_GIN-LAX-6_ICE-LAX-6,ART-12_COY-12_MAD-12_GIN-6_ICE-6,0,inner
MAD,-97.55815141,-29.18252802,13.65649863,MAD-12,ART_BED_COY_LAX_CHI,ART-MAD_BED-MAD_COY-MAD_LAX-MAD_CHI-MAD,ART-MAD-12_BED-MAD-12_COY-MAD-12_LAX-MAD-12_CHI-MAD-9,ART-12_BED-12_COY-12_LAX-12_CHI-9,0,outer
BOX,-102.3783024,45.64410998,-89.24967437,BOX-4,HUG_VAN_LID,BOX-HUG_BOX-VAN_BOX-LID,BOX-HUG-4_BOX-VAN-4_BOX-LID-4,HUG-4_VAN-4_LID-3,1,outer
AGO,-77.59085641,99.85877998,-32.02837637,AGO-3,ALA_MIX_TAX,AGO-ALA_AGO-MIX_AGO-TAX,AGO-ALA-3_AGO-MIX-3_AGO-TAX-3,ALA-3_MIX-3_TAX-3,0,inner
YES,54.23545259,26.39750798,41.98318563,YES-7,ACE_ERA_NIL_POP,ACE-YES_ERA-YES_NIL-YES_POP-YES,ACE-YES-7_ERA-YES-7_NIL-YES-7_POP-YES-7,ACE-7_ERA-7_NIL-7_POP-7,0,inner
LAW,10.22523459,-26.85873602,65.73183363,LAW-14,FOG_RIB_SOY,FOG-LAW_LAW-RIB_LAW-SOY,FOG-LAW-14_LAW-RIB-14_LAW-SOY-14,FOG-14_RIB-14_SOY-6,0,inner
ZAP,-18.45769141,-88.78774802,49.77636063,ZAP-13,GOO_OLD_YAK,GOO-ZAP_OLD-ZAP_YAK-ZAP,GOO-ZAP-13_OLD-ZAP-13_YAK-ZAP-13,GOO-13_OLD-13_YAK-13,0,inner
FLY,-82.18924841,94.36766498,1.048107628,FLY-3_FLY-5,OIL_TAX_DRY_WIZ,FLY-OIL_FLY-TAX_DRY-FLY_FLY-WIZ,FLY-OIL-3_FLY-TAX-3_FLY-OIL-5_DRY-FLY-5_FLY-WIZ-5,OIL-3_TAX-3_OIL-5_DRY-5_WIZ-4,0,outer
AHI,39.02183059,34.45504998,64.71688063,AHI-7,ERA_IRE_JUG,AHI-ERA_AHI-IRE_AHI-JUG,AHI-ERA-7_AHI-IRE-7_AHI-JUG-7,ERA-7_IRE-7_JUG-6,0,outer
LUG,87.02662859,-36.21138802,-5.755776372,LUG-11_LUG-8,KEG_PAY_TAR_COW_GAS,KEG-LUG_LUG-PAY_LUG-TAR_COW-LUG_GAS-LUG,KEG-LUG-11_LUG-TAR-11_COW-LUG-11_GAS-LUG-11_KEG-LUG-8_LUG-PAY-8_LUG-TAR-8,KEG-11_TAR-11_COW-11_GAS-11_KEG-8_PAY-8_TAR-8,0,inner
FLU,-106.7256264,-7.093324017,-80.89485437,FLU-4,BAR_CUP_HUG_VAN_SIR,BAR-FLU_CUP-FLU_FLU-HUG_FLU-VAN_FLU-SIR,BAR-FLU-4_CUP-FLU-4_FLU-HUG-4_FLU-VAN-4_FLU-SIR-4,BAR-4_CUP-4_HUG-4_VAN-4_SIR-9,1,outer
GUN,80.21752159,86.71068098,-50.51652737,GUN-1_GUN-2,JOY_RAW_ASK_TUB,GUN-JOY_GUN-RAW_ASK-GUN_GUN-TUB,GUN-JOY-1_GUN-RAW-1_ASK-GUN-2_GUN-TUB-2,JOY-1_RAW-1_ASK-2_TUB-2,0,inner
BED,-94.74560041,-9.822877017,-9.187424372,BED-12_BED-9_BED-4,ICE_DOG_GIN_AGE_MAD,BED-ICE_BED-DOG_BED-GIN_AGE-BED_BED-MAD,BED-MAD-12_BED-ICE-4_BED-DOG-4_BED-GIN-4_BED-DOG-9_AGE-BED-9,MAD-12_ICE-4_DOG-4_GIN-4_DOG-9_AGE-9,0,inner
GUT,-58.81736041,125.501099,-49.45211537,GUT-3,ALA_HEX_MIX_MOM,ALA-GUT_GUT-HEX_GUT-MIX_GUT-MOM,ALA-GUT-3_GUT-HEX-3_GUT-MIX-3_GUT-MOM-3,ALA-3_HEX-3_MIX-3_MOM-3,0,inner
FUN,-41.77578841,81.21320698,46.46754063,FUN-5,DRY_NAY_REF_VOW_FAN,DRY-FUN_FUN-NAY_FUN-REF_FUN-VOW_FAN-FUN,DRY-FUN-5_FUN-NAY-5_FUN-REF-5_FUN-VOW-5_FAN-FUN-6,DRY-5_NAY-5_REF-5_VOW-5_FAN-6,0,outer
HUG,-93.46122141,17.77017398,-89.94626137,HUG-4,BOX_FLU_GYM_VAN_SIR_LID,BOX-HUG_FLU-HUG_GYM-HUG_HUG-VAN_HUG-SIR_HUG-LID,BOX-HUG-4_FLU-HUG-4_GYM-HUG-4_HUG-VAN-4_HUG-SIR-4_HUG-LID-4,BOX-4_FLU-4_GYM-4_VAN-4_SIR-9_LID-3,1,inner
SIR,-85.17058541,-36.93601502,-81.99597937,SIR-9,BAR_ELK_ONO_TAT_FLU_HUG,BAR-SIR_ELK-SIR_ONO-SIR_SIR-TAT_FLU-SIR_HUG-SIR,BAR-SIR-9_ELK-SIR-9_ONO-SIR-9_SIR-TAT-9_FLU-SIR-4_HUG-SIR-4,BAR-9_ELK-9_ONO-9_TAT-9_FLU-4_HUG-4,1,inner
JUG,-5.433488406,37.92189098,71.05300363,JUG-5_JUG-6,NIL_RIB_MOP_AHI,JUG-NIL_JUG-RIB_JUG-MOP_AHI-JUG,JUG-NIL-5_JUG-RIB-6_JUG-MOP-6_AHI-JUG-7,NIL-5_RIB-6_MOP-6_AHI-7,0,outer
GET,-11.22186041,-141.007733,-35.38363137,GET-10,CAB_COP_OAK_NEW,CAB-GET_COP-GET_GET-OAK_GET-NEW,CAB-GET-10_COP-GET-10_GET-OAK-10_GET-NEW-10,CAB-10_COP-10_OAK-10_NEW-10,1,inner
ROB,41.82992959,-142.516761,-24.93582837,ROB-10,AMP_CAB_GEL_OAK_SEX,AMP-ROB_CAB-ROB_GEL-ROB_OAK-ROB_ROB-SEX,AMP-ROB-10_CAB-ROB-10_GEL-ROB-10_OAK-ROB-10_ROB-SEX-10,AMP-10_CAB-10_GEL-10_OAK-10_SEX-10,0,outer
MAC,68.15962259,1.329739983,49.85057663,MAC-11_MAC-7,FIX_IRE_POP_AIR_GIG,FIX-MAC_IRE-MAC_MAC-POP_AIR-MAC_GIG-MAC,FIX-MAC-11_AIR-MAC-11_GIG-MAC-11_FIX-MAC-7_IRE-MAC-7_MAC-POP-7,FIX-11_AIR-11_GIG-11_FIX-7_IRE-7_POP-7,0,outer
AMP,51.99566359,-118.984127,-45.29832237,AMP-8_AMP-10,YAY_SAW_ROB_CAB,AMP-YAY_AMP-SAW_AMP-ROB_AMP-CAB,AMP-ROB-10_AMP-CAB-10_AMP-YAY-8_AMP-SAW-8,ROB-10_CAB-10_YAY-8_SAW-8,1,outer
BUG,-59.09933341,-64.50047202,38.98281863,BUG-12,YAK_LAB_LAM_GOO,BUG-YAK_BUG-LAB_BUG-LAM_BUG-GOO,BUG-YAK-12_BUG-LAB-12_BUG-LAM-12_BUG-GOO-12,YAK-12_LAB-12_LAM-12_GOO-12,0,inner
GEL,53.08506359,-136.052756,7.895627628,GEL-10,DAD_ROB_MOO_PHI,DAD-GEL_GEL-ROB_GEL-MOO_GEL-PHI,DAD-GEL-10_GEL-ROB-10_GEL-MOO-10_GEL-PHI-10,DAD-10_ROB-10_MOO-10_PHI-8,0,outer
FOR,-1.859306406,-159.398511,-11.69254437,FOR-10,DAD_EGG_OAK_RUG_HIP,DAD-FOR_EGG-FOR_FOR-OAK_FOR-RUG_FOR-HIP,DAD-FOR-10_EGG-FOR-10_FOR-OAK-10_FOR-RUG-10_FOR-HIP-10,DAD-10_EGG-10_OAK-10_RUG-10_HIP-10,0,outer
TAU,-21.30092041,-46.13249602,61.36783063,TAU-14_TAU-13_TAU-6,SOY_TRY_LAB_LAM,SOY-TAU_TAU-TRY_LAB-TAU_LAM-TAU,LAB-TAU-13_SOY-TAU-6_TAU-TRY-6_LAM-TAU-12,LAB-13_SOY-6_TRY-6_LAM-12,0,inner
SHY,-28.92061941,125.976734,7.891281628,SHY-5,BOA_DRY_HOW_OIL_INK,BOA-SHY_DRY-SHY_HOW-SHY_OIL-SHY_INK-SHY,BOA-SHY-5_DRY-SHY-5_HOW-SHY-5_OIL-SHY-5_INK-SHY-3,BOA-5_DRY-5_HOW-5_OIL-5_INK-3,0,outer
WOW,-56.48277041,-131.871081,-17.25148337,WOW-10_WOW-9,ELK_KEY_HIP_RUG_SAD,ELK-WOW_KEY-WOW_HIP-WOW_RUG-WOW_SAD-WOW,HIP-WOW-10_RUG-WOW-10_SAD-WOW-10_ELK-WOW-9_KEY-WOW-9,HIP-10_RUG-10_SAD-10_ELK-9_KEY-9,0,inner
FOX,113.4612856,14.11545098,-39.83334437,FOX-2,BOY_SKY_TUX,BOY-FOX_FOX-SKY_FOX-TUX,BOY-FOX-2_FOX-SKY-2_FOX-TUX-2,BOY-2_SKY-2_TUX-2,0,outer
ZOO,53.59552959,-79.92789602,45.84201263,ZOO-11,COW_FAX_JAM_LIE_WAS,COW-ZOO_FAX-ZOO_JAM-ZOO_LIE-ZOO_WAS-ZOO,COW-ZOO-11_FAX-ZOO-11_JAM-ZOO-11_LIE-ZOO-11_WAS-ZOO-11,COW-11_FAX-11_JAM-11_LIE-11_WAS-11,0,outer
TRY,-39.11595341,-19.65037802,71.77933563,TRY-6,ACT_DUH_FOG_SOY_TAU,ACT-TRY_DUH-TRY_FOG-TRY_SOY-TRY_TAU-TRY,ACT-TRY-6_DUH-TRY-6_FOG-TRY-6_SOY-TRY-6_TAU-TRY-6,ACT-6_DUH-6_FOG-6_SOY-6_TAU-6,0,outer
FOG,-11.92286041,-24.93838202,78.58385063,FOG-6_FOG-14,TRY_RIB_LAW_OLD,FOG-TRY_FOG-RIB_FOG-LAW_FOG-OLD,FOG-RIB-14_FOG-LAW-14_FOG-OLD-14_FOG-TRY-6_FOG-RIB-6,RIB-14_LAW-14_OLD-14_TRY-6_RIB-6,0,outer
NOM,76.18738459,86.59016998,-4.606762372,NOM-7_NOM-1_NOM-2,ARM_JOY_WET_SPY_DIG,ARM-NOM_JOY-NOM_NOM-WET_NOM-SPY_DIG-NOM,ARM-NOM-1_JOY-NOM-1_NOM-WET-1_NOM-SPY-1_DIG-NOM-2_NOM-WET-7,ARM-1_JOY-1_WET-1_SPY-1_DIG-2_WET-7,0,inner
