Pixel_i,Module1,Module2,Node1,Node2,X,Y,Z
33520,8,8,AMP,SEX,58.100167287247025,-112.54217500255676,-33.17944143607232
33521,8,8,AMP,SEX,58.28845550075825,-112.6471263208548,-32.559692120893786
33522,8,8,AMP,SEX,58.47674371426948,-112.75207763915283,-31.93994280571526
33523,8,8,AMP,SEX,58.66503192778071,-112.85702895745086,-31.32019349053673
33524,8,8,AMP,SEX,58.85332014129194,-112.9619802757489,-30.700444175358204
33525,8,8,AMP,SEX,59.04160835480317,-113.06693159404693,-30.080694860179676
33526,8,8,AMP,SEX,59.229896568314395,-113.17188291234497,-29.46094554500115
33527,8,8,AMP,SEX,59.41818478182562,-113.276834230643,-28.84119622982262
33528,8,8,AMP,SEX,59.60647299533685,-113.38178554894104,-28.221446914644094
33529,8,8,AMP,SEX,59.79476120884808,-113.48673686723907,-27.601697599465567
33530,8,8,AMP,SEX,59.98304942235931,-113.59168818553711,-26.98194828428704
33531,8,8,AMP,SEX,60.171337635870536,-113.69663950383514,-26.362198969108512
33532,8,8,AMP,SEX,60.359625849381764,-113.80159082213318,-25.742449653929985
33533,8,8,AMP,SEX,60.54791406289299,-113.90654214043121,-25.122700338751457
33534,8,8,AMP,SEX,60.73620227640422,-114.01149345872925,-24.50295102357293
33535,8,8,AMP,SEX,60.92449048991545,-114.11644477702728,-23.883201708394402
33536,8,8,AMP,SEX,61.11277870342668,-114.22139609532532,-23.263452393215875
33537,8,8,AMP,SEX,61.301066916937906,-114.32634741362335,-22.643703078037348
33538,8,8,AMP,SEX,61.489355130449134,-114.43129873192139,-22.02395376285882
33539,8,8,AMP,SEX,61.67764334396036,-114.53625005021942,-21.404204447680293
33540,8,8,AMP,SEX,61.86593155747159,-114.64120136851746,-20.784455132501765
33541,8,8,AMP,YAY,53.92918054129933,-109.58914069910293,-46.93584523430797
33542,8,8,AMP,YAY,53.90053449259866,-108.94503539820586,-47.05776409861594
33543,8,8,AMP,YAY,53.87188844389799,-108.3009300973088,-47.17968296292391
33544,8,8,AMP,YAY,53.843242395197315,-107.65682479641173,-47.301601827231885
33545,8,8,AMP,YAY,53.81459634649664,-107.01271949551466,-47.423520691539856
33546,8,8,AMP,YAY,53.78595029779597,-106.36861419461759,-47.54543955584783
33547,8,8,AMP,YAY,53.7573042490953,-105.72450889372053,-47.6673584201558
33548,8,8,AMP,YAY,53.72865820039463,-105.08040359282346,-47.78927728446377
33549,8,8,AMP,YAY,53.700012151693954,-104.43629829192639,-47.911196148771744
33550,8,8,AMP,YAY,53.67136610299328,-103.79219299102932,-48.033115013079716
33551,8,8,AMP,YAY,53.64272005429261,-103.14808769013226,-48.15503387738769
33552,8,8,AMP,YAY,53.61407400559194,-102.50398238923519,-48.27695274169566
33553,8,8,AMP,YAY,53.585427956891266,-101.85987708833812,-48.39887160600363
33554,8,8,AMP,YAY,53.556781908190594,-101.21577178744106,-48.5207904703116
33555,8,8,AMP,YAY,53.52813585948992,-100.57166648654399,-48.642709334619575
33556,8,8,AMP,YAY,53.49948981078925,-99.92756118564692,-48.76462819892755
33557,8,8,AMP,YAY,53.47084376208858,-99.28345588474986,-48.88654706323552
33558,8,8,AMP,YAY,53.442197713387905,-98.63935058385279,-49.00846592754349
33559,8,8,AMP,YAY,53.41355166468723,-97.99524528295572,-49.13038479185146
33560,8,8,AMP,YAY,53.38490561598656,-97.35113998205865,-49.252303656159434
33561,8,8,AMP,YAY,53.35625956728589,-96.70703468116159,-49.374222520467406
