Pixel_i,Module1,Module2,Node1,Node2,X,Y,Z
11861,5,5,HOW,RUM,0.8597916151332523,118.63249931147746,0.44379384099862756
11862,5,5,HOW,RUM,0.49133086777490886,118.88747110041214,-0.035562507376544095
11863,5,5,HOW,RUM,0.12287012041656542,119.14244288934682,-0.5149188557517157
11864,5,5,HOW,RUM,-0.24559062694177802,119.3974146782815,-0.9942752041268874
11865,5,5,HOW,RUM,-0.6140513743001215,119.65238646721619,-1.4736315525020591
11866,5,5,HOW,RUM,-0.9825121216584649,119.90735825615087,-1.9529879008772308
11867,5,5,HOW,RUM,-1.3509728690168084,120.16233004508555,-2.4323442492524023
11868,5,5,HOW,RUM,-1.7194336163751518,120.41730183402024,-2.911700597627574
11869,5,5,HOW,RUM,-2.0878943637334952,120.67227362295492,-3.3910569460027453
11870,5,5,HOW,RUM,-2.4563551110918387,120.9272454118896,-3.870413294377917
11871,5,5,HOW,RUM,-2.824815858450182,121.18221720082428,-4.349769642753088
11872,5,5,HOW,RUM,-3.1932766058085256,121.43718898975897,-4.82912599112826
11873,5,5,HOW,RUM,-3.561737353166869,121.69216077869365,-5.308482339503431
11874,5,5,HOW,RUM,-3.9301981005252125,121.94713256762833,-5.787838687878603
11875,5,5,HOW,RUM,-4.298658847883556,122.20210435656301,-6.267195036253774
11876,5,5,HOW,RUM,-4.6671195952419,122.4570761454977,-6.746551384628946
11877,5,5,HOW,RUM,-5.035580342600243,122.71204793443238,-7.225907733004117
11878,5,5,HOW,RUM,-5.404041089958586,122.96701972336706,-7.705264081379289
11879,5,5,HOW,RUM,-5.772501837316929,123.22199151230174,-8.18462042975446
11880,5,5,HOW,RUM,-6.140962584675272,123.47696330123642,-8.663976778129632
11881,5,5,HOW,RUM,-6.509423332033615,123.7319350901711,-9.143333126504803
11882,5,5,HOW,RUM,-6.877884079391958,123.98690687910579,-9.622689474879975
11883,5,5,HOW,RUM,-7.246344826750301,124.24187866804047,-10.102045823255146
11884,5,5,HOW,RUM,-7.614805574108644,124.49685045697515,-10.581402171630318
11885,5,5,HOW,RUM,-7.983266321466987,124.75182224590984,-11.06075852000549
11886,5,5,HOW,RUM,-8.35172706882533,125.00679403484452,-11.54011486838066
11887,5,5,HOW,RUM,-8.720187816183673,125.2617658237792,-12.019471216755832
11888,5,5,HOW,RUM,-9.088648563542016,125.51673761271388,-12.498827565131004
11889,5,5,HOW,RUM,-9.457109310900359,125.77170940164856,-12.978183913506175
11890,5,5,HOW,RUM,-9.825570058258702,126.02668119058325,-13.457540261881347
11891,5,5,HOW,RUM,-10.194030805617045,126.28165297951793,-13.936896610256518
11892,5,5,HOW,RUM,-10.562491552975388,126.53662476845261,-14.41625295863169
11893,5,5,HOW,RUM,-10.93095230033373,126.7915965573873,-14.895609307006861
11894,5,5,HOW,RUM,-11.299413047692074,127.04656834632198,-15.374965655382033
11895,5,5,HOW,RUM,-11.667873795050417,127.30154013525666,-15.854322003757204
11896,5,5,HOW,RUM,-12.03633454240876,127.55651192419134,-16.333678352132377
11897,5,5,HOW,RUM,-12.404795289767103,127.81148371312602,-16.81303470050755
11898,5,5,HOW,RUM,-12.773256037125446,128.0664555020607,-17.292391048882724
11899,5,5,HOW,RUM,-13.141716784483789,128.3214272909954,-17.771747397257897
11900,5,5,HOW,RUM,-13.510177531842132,128.57639907993007,-18.25110374563307
11901,5,5,HOW,RUM,-13.878638279200475,128.83137086886475,-18.730460094008244
11902,5,5,HOW,RUM,-14.247099026558818,129.08634265779943,-19.209816442383417
11903,5,5,HOW,RUM,-14.61555977391716,129.34131444673412,-19.68917279075859
11904,5,5,HOW,RUM,-14.984020521275504,129.5962862356688,-20.168529139133764
11905,5,5,HOW,RUM,-15.352481268633847,129.85125802460348,-20.647885487508937
11906,5,5,HOW,RUM,-15.72094201599219,130.10622981353816,-21.12724183588411
11907,5,5,HOW,RUM,-16.089402763350535,130.36120160247285,-21.606598184259283
11908,5,5,HOW,RUM,-16.45786351070888,130.61617339140753,-22.085954532634457
11909,5,5,HOW,RUM,-16.826324258067224,130.8711451803422,-22.56531088100963
11910,5,5,HOW,RUM,-17.19478500542557,131.1261169692769,-23.044667229384803
11911,5,5,HOW,RUM,-17.563245752783914,131.38108875821158,-23.524023577759976
