Pixel_i,Module,Node1,Node2,X,Y,Z
10175,14,GIG,LAW,427.86910228021486,-24.04786679051294,133.88951208773108
10176,14,GIG,LAW,427.2785142402268,-24.141460501096994,134.15970170371614
10177,14,GIG,LAW,426.68792620023873,-24.235054211681046,134.4298913197012
10178,14,GIG,LAW,426.0973381602507,-24.328647922265098,134.70008093568626
10179,14,GIG,LAW,425.5067501202626,-24.42224163284915,134.97027055167132
10180,14,GIG,LAW,424.91616208027455,-24.515835343433203,135.24046016765638
10181,14,GIG,LAW,424.3255740402865,-24.609429054017255,135.51064978364144
10182,14,GIG,LAW,423.7349860002984,-24.703022764601307,135.7808393996265
10183,14,GIG,LAW,423.14439796031036,-24.79661647518536,136.05102901561156
10184,14,GIG,LAW,422.5538099203223,-24.890210185769412,136.32121863159662
10185,14,GIG,LAW,421.96322188033423,-24.983803896353464,136.59140824758168
10186,14,GIG,LAW,421.37263384034617,-25.077397606937517,136.86159786356674
10187,14,GIG,LAW,420.7820458003581,-25.17099131752157,137.1317874795518
10188,14,GIG,LAW,420.19145776037004,-25.26458502810562,137.40197709553686
10189,14,GIG,LAW,419.600869720382,-25.358178738689674,137.67216671152192
10190,14,GIG,LAW,419.0102816803939,-25.451772449273726,137.94235632750699
10191,14,GIG,LAW,418.41969364040585,-25.545366159857778,138.21254594349205
10192,14,GIG,LAW,417.8291056004178,-25.63895987044183,138.4827355594771
10193,14,GIG,LAW,417.2385175604297,-25.732553581025883,138.75292517546217
10194,14,GIG,LAW,416.64792952044166,-25.826147291609935,139.02311479144723
10195,14,GIG,LAW,416.0573414804536,-25.919741002193987,139.2933044074323
10196,14,GIG,LAW,415.46675344046554,-26.01333471277804,139.56349402341735
10197,14,GIG,LAW,414.8761654004775,-26.106928423362092,139.8336836394024
10198,14,GIG,LAW,414.2855773604894,-26.200522133946144,140.10387325538747
10199,14,GIG,LAW,413.69498932050135,-26.294115844530197,140.37406287137253
10200,14,GIG,LAW,413.1044012805133,-26.38770955511425,140.6442524873576
10201,14,GIG,LAW,412.5138132405252,-26.4813032656983,140.91444210334265
10202,14,GIG,LAW,411.92322520053716,-26.574896976282353,141.1846317193277
10203,14,GIG,LAW,411.3326371605491,-26.668490686866406,141.45482133531277
10204,14,GIG,LAW,410.74204912056103,-26.762084397450458,141.72501095129783
10205,14,GIG,LAW,410.151461080573,-26.85567810803451,141.9952005672829
10206,14,GIG,LAW,409.5608730405849,-26.949271818618563,142.26539018326795
10207,14,GIG,LAW,408.97028500059685,-27.042865529202615,142.53557979925301
10208,14,GIG,LAW,408.3796969606088,-27.136459239786667,142.80576941523807
10209,14,GIG,LAW,407.7891089206207,-27.23005295037072,143.07595903122314
10210,14,GIG,LAW,407.19852088063266,-27.323646660954772,143.3461486472082
10211,14,GIG,LAW,406.6079328406446,-27.417240371538824,143.61633826319326
10212,14,IRE,LAW,432.5155115597345,-4.137444256793364,146.34084203237637
10213,14,IRE,LAW,432.03014411946896,-4.575840513586727,146.28808206475276
10214,14,IRE,LAW,431.54477667920344,-5.014236770380091,146.23532209712914
10215,14,IRE,LAW,431.0594092389379,-5.452633027173454,146.18256212950553
10216,14,IRE,LAW,430.5740417986724,-5.891029283966818,146.1298021618819
10217,14,IRE,LAW,430.0886743584069,-6.329425540760181,146.0770421942583
10218,14,IRE,LAW,429.60330691814136,-6.767821797553545,146.02428222663468
10219,14,IRE,LAW,429.11793947787584,-7.206218054346908,145.97152225901107
10220,14,IRE,LAW,428.6325720376103,-7.644614311140272,145.91876229138745
10221,14,IRE,LAW,428.1472045973448,-8.083010567933636,145.86600232376384
10222,14,IRE,LAW,427.6618371570793,-8.521406824727,145.81324235614022
10223,14,IRE,LAW,427.17646971681376,-8.959803081520365,145.7604823885166
10224,14,IRE,LAW,426.69110227654824,-9.398199338313729,145.707722420893
10225,14,IRE,LAW,426.2057348362827,-9.836595595107093,145.65496245326938
10226,14,IRE,LAW,425.7203673960172,-10.274991851900458,145.60220248564576
10227,14,IRE,LAW,425.2349999557517,-10.713388108693822,145.54944251802215
10228,14,IRE,LAW,424.74963251548616,-11.151784365487186,145.49668255039853
10229,14,IRE,LAW,424.26426507522064,-11.59018062228055,145.44392258277492
10230,14,IRE,LAW,423.7788976349551,-12.028576879073915,145.3911626151513
10231,14,IRE,LAW,423.2935301946896,-12.46697313586728,145.3384026475277
10232,14,IRE,LAW,422.8081627544241,-12.905369392660644,145.28564267990407
10233,14,IRE,LAW,422.32279531415855,-13.343765649454008,145.23288271228046
10234,14,IRE,LAW,421.83742787389303,-13.782161906247373,145.18012274465684
10235,14,IRE,LAW,421.3520604336275,-14.220558163040737,145.12736277703323
10236,14,IRE,LAW,420.866692993362,-14.658954419834101,145.0746028094096
10237,14,IRE,LAW,420.3813255530965,-15.097350676627466,145.021842841786
10238,14,IRE,LAW,419.89595811283095,-15.53574693342083,144.96908287416238
10239,14,IRE,LAW,419.41059067256543,-15.974143190214194,144.91632290653877
10240,14,IRE,LAW,418.9252232322999,-16.412539447007557,144.86356293891515
10241,14,IRE,LAW,418.4398557920344,-16.85093570380092,144.81080297129154
10242,14,IRE,LAW,417.9544883517689,-17.289331960594286,144.75804300366792
10243,14,IRE,LAW,417.46912091150335,-17.72772821738765,144.7052830360443
10244,14,IRE,LAW,416.98375347123783,-18.166124474181014,144.6525230684207
10245,14,IRE,LAW,416.4983860309723,-18.60452073097438,144.59976310079708
10246,14,IRE,LAW,416.0130185907068,-19.042916987767743,144.54700313317346
10247,14,IRE,LAW,415.5276511504413,-19.481313244561107,144.49424316554985
10248,14,IRE,LAW,415.04228371017575,-19.919709501354472,144.44148319792623
10249,14,IRE,LAW,414.55691626991023,-20.358105758147836,144.38872323030262
10250,14,IRE,LAW,414.0715488296447,-20.7965020149412,144.335963262679
10251,14,IRE,LAW,413.5861813893792,-21.234898271734565,144.2832032950554
10252,14,IRE,LAW,413.1008139491137,-21.67329452852793,144.23044332743177
10253,14,IRE,LAW,412.61544650884815,-22.111690785321294,144.17768335980816
10254,14,IRE,LAW,412.13007906858263,-22.550087042114658,144.12492339218454
10255,14,IRE,LAW,411.6447116283171,-22.988483298908022,144.07216342456093
10256,14,IRE,LAW,411.1593441880516,-23.426879555701387,144.0194034569373
10257,14,IRE,LAW,410.67397674778607,-23.86527581249475,143.9666434893137
10258,14,IRE,LAW,410.18860930752055,-24.303672069288115,143.91388352169008
